sentiment,topic_id,document_count,language_count,shannon_diversity,languages,dominant_language,dominance_percentage,geographic_spread,category_spread
positivo,11,7255,13,0.977,"{'es': 4039, 'en': 2721, 'fr': 185, 'de': 113, 'it': 110, 'pt': 74, 'nl': 3, 'ar': 2, 'ca': 2, 'ru': 2, 'pl': 2, 'sk': 1, 'sv': 1}",es,55.67,8,11
negativo,113,1136,21,0.972,"{'es': 857, 'en': 163, 'fr': 22, 'it': 19, 'nl': 19, 'de': 14, 'pt': 8, 'pl': 7, 'da': 4, 'ca': 4, 'tr': 3, 'ru': 3, 'he': 2, 'no': 2, 'hu': 2, 'sv': 2, 'el': 1, 'hr': 1, 'sk': 1, 'ja': 1, 'ro': 1}",es,75.44,8,12
positivo,12,8015,23,0.97,"{'es': 4742, 'en': 2742, 'fr': 188, 'it': 159, 'de': 88, 'pt': 30, 'nl': 24, 'pl': 16, 'ro': 5, 'tr': 3, 'ca': 3, 'no': 3, 'ja': 2, 'el': 1, 'af': 1, 'ru': 1, 'et': 1, 'da': 1, 'hr': 1, 'ko': 1, 'hu': 1, 'zh-cn': 1, 'sv': 1}",es,59.16,8,11
positivo,20,5954,15,0.969,"{'es': 3336, 'en': 2243, 'fr': 134, 'it': 112, 'de': 51, 'pt': 49, 'ro': 5, 'pl': 5, 'ar': 4, 'nl': 4, 'ru': 3, 'ca': 3, 'hr': 2, 'ja': 2, 'no': 1}",es,56.03,8,11
positivo,26,6543,17,0.965,"{'es': 3918, 'en': 2191, 'fr': 166, 'it': 124, 'de': 65, 'pt': 31, 'pl': 12, 'nl': 11, 'fi': 4, 'sl': 4, 'ro': 4, 'af': 3, 'hr': 2, 'bg': 2, 'no': 2, 'da': 2, 'el': 2}",es,59.88,8,11
positivo,5,4807,16,0.964,"{'es': 2920, 'en': 1560, 'fr': 111, 'it': 88, 'de': 68, 'pt': 30, 'nl': 13, 'af': 3, 'pl': 2, 'ar': 2, 'ro': 2, 'el': 2, 'ru': 2, 'lv': 2, 'fi': 1, 'hr': 1}",es,60.74,8,12
negativo,53,421,10,0.963,"{'es': 276, 'en': 115, 'pt': 7, 'it': 5, 'de': 4, 'fr': 3, 'el': 3, 'ro': 3, 'hu': 3, 'pl': 2}",es,65.56,8,10
positivo,2,3622,13,0.961,"{'es': 1986, 'en': 1430, 'it': 56, 'fr': 53, 'de': 48, 'pt': 16, 'ro': 15, 'ca': 7, 'bg': 4, 'no': 3, 'af': 2, 'pl': 1, 'nl': 1}",es,54.83,8,11
positivo,14,8926,19,0.961,"{'es': 4875, 'en': 3538, 'fr': 181, 'it': 132, 'de': 95, 'nl': 42, 'pt': 22, 'pl': 12, 'sv': 9, 'hu': 3, 'da': 3, 'ja': 3, 'so': 2, 'cs': 2, 'fi': 2, 'no': 2, 'ro': 1, 'sk': 1, 'zh-tw': 1}",es,54.62,8,12
positivo,24,4224,18,0.959,"{'es': 2596, 'en': 1347, 'fr': 110, 'it': 75, 'de': 42, 'pt': 12, 'pl': 11, 'nl': 10, 'ko': 6, 'cs': 5, 'zh-cn': 3, 'hr': 1, 'tr': 1, 'ru': 1, 'no': 1, 'sv': 1, 'mk': 1, 'da': 1}",es,61.46,8,13
