season,weather,total_documents,sentiment_breakdown,dominant_sentiment,unique_topics,unique_languages,unique_cities
Invierno,"Día cielo con intervalos, cálido, sin lluvia",9046,"{'neutro': 7446, 'positivo': 1228, 'negativo': 372}",neutro,171,25,3
Invierno,"Día soleado, cálido, sin lluvia",5991,"{'neutro': 4719, 'positivo': 1024, 'negativo': 248}",neutro,164,23,4
Invierno,"Día con lloviznas, cálido",1705,"{'neutro': 1249, 'positivo': 385, 'negativo': 71}",neutro,152,13,3
Invierno,"Día con lluvia moderada, cálido",739,"{'neutro': 655, 'positivo': 57, 'negativo': 27}",neutro,147,12,2
Invierno,"Día, fresco y agradable, sin lluvia",270,"{'neutro': 160, 'negativo': 64, 'positivo': 46}",neutro,95,9,3
Invierno,"Día cielo nublado, cálido, sin lluvia",427,"{'neutro': 412, 'positivo': 12, 'negativo': 3}",neutro,130,8,2
Invierno,"Día con lluvia intensa, cálido",104,"{'neutro': 98, 'negativo': 3, 'positivo': 3}",neutro,76,6,2
Invierno,Día con lloviznas,180,"{'neutro': 105, 'positivo': 67, 'negativo': 8}",neutro,82,4,3
Invierno,"Día soleado, sin lluvia",49,"{'neutro': 44, 'positivo': 3, 'negativo': 2}",neutro,37,3,1
Invierno,"Día cielo con intervalos, sin lluvia",302,"{'neutro': 204, 'positivo': 89, 'negativo': 9}",neutro,114,7,3
Invierno,"Día cielo nublado, sin lluvia",153,"{'neutro': 102, 'negativo': 27, 'positivo': 24}",neutro,72,7,2
Invierno,"Día con lluvia intensa, frío",712,"{'neutro': 440, 'positivo': 140, 'negativo': 132}",neutro,135,9,2
Invierno,"Día, frío, sin lluvia",260,"{'neutro': 111, 'negativo': 84, 'positivo': 65}",neutro,92,9,2
Invierno,Día con lluvia intensa,1,{'neutro': 1},neutro,1,1,1
Invierno,Día con lluvia moderada,90,"{'positivo': 50, 'neutro': 40}",positivo,42,3,2
Otoño,"Día cielo nublado, fresco y agradable, sin lluvia",11653,"{'positivo': 5511, 'neutro': 3832, 'negativo': 2310}",positivo,209,32,5
Otoño,"Día cielo con intervalos, fresco y agradable, sin lluvia",24169,"{'positivo': 11776, 'neutro': 9302, 'negativo': 3091}",positivo,206,35,6
Otoño,"Día con lluvia moderada, fresco y agradable",6775,"{'positivo': 3204, 'neutro': 2683, 'negativo': 888}",positivo,188,27,6
Otoño,"Día con lloviznas, fresco y agradable",6167,"{'neutro': 2811, 'positivo': 2198, 'negativo': 1158}",neutro,192,28,6
Otoño,"Día cielo nublado, cálido, sin lluvia",6263,"{'positivo': 2938, 'neutro': 1997, 'negativo': 1328}",positivo,199,32,4
