id,ciudad,titulo,rating,precio
book_a0116,Barcelona,Paradox Museum Barcelona a Mind-twisting Experience,4.9,18.0
book_a0117,Barcelona,Parque Güell: visita guiada sin colas,4.5,26.0
book_a0118,Barcelona,Visita guiada por la Sagrada Familia,4.6,56.0
book_a0119,Barcelona,Palau Güell con audioguía,4.7,12.0
book_a0120,Barcelona,Excursión a la playa de la Costa Brava desde Barcelona a Tossa de Mar,4.8,39.0
book_a0121,Barcelona,Tour por Montserrat con trayecto en el tren cremallera,4.3,62.0
book_a0122,Barcelona,Entrada Sin Colas al Mirador Torre Glories en Barcelona,4.7,18.0
book_a0123,Barcelona,Vuelo en helicóptero y experiencia de navegación,4.4,159.0
book_a0124,Barcelona,"Andorra, Francia y España: 3 países en un día desde Barcelona",4.1,75.0
book_a0125,Barcelona,Experiencia de medio día en Montserrat desde Barcelona,4.8,56.05
book_a0126,Barcelona,Entrada a Illa Fantasia,3.4,33.0
book_a0127,Barcelona,Visita guiada a Barcelona Sagrada Familia sin colas,5.0,62.0
book_a0128,Barcelona,Entrada Reservada al Castillo de Montjuic con Teleférico en Barcelona,4.39,42.0
book_a0129,Barcelona,Entrada al Museo de Cera de Barcelona,4.8,21.0
book_a0130,Barcelona,Ticket para el Paradox Museum Barcelona,4.39,18.0
book_a0131,Barcelona,"Excursión guiada de un día a Montserrat, Girona y la Costa Brava desde Barcelona",4.5,110.0
book_a0132,Barcelona,Entrada al Museo Erótico de Barcelona,4.7,15.0
book_a0133,Barcelona,Entrada al Recinto Modernista de Sant Pau,4.8,18.0
book_a0134,Barcelona,Recorrido inmersivo por el museo del FC Barcelona: Fecha flexible (solo entrada),3.4,35.0
book_a0135,Barcelona,Flamenco Casa Sors & Guitar Museum with Optional Drink or Dinner,4.9,37.0
book_a0136,Barcelona,Audioguía exterior de la Sagrada Familia: Las 3 fachadas icónicas,4.39,2.85
book_a0137,Barcelona,Visita guiada por la Sagrada Familia,4.2,59.0
book_a0138,Barcelona,Tour guiado por la Sagrada Familia,4.6,49.0
book_a0139,Barcelona,Sagrada Familia Tour Guiado con Guía Profesional & Acceso a las Torres opcional.,3.9,99.0
book_a0140,Barcelona,Entrada al Recinto Modernista de Sant Pau,4.7,18.0
book_a0141,Barcelona,"Andorra, Francia y España: la gira original de los tres países",4.5,113.05
book_a0142,Barcelona,"Acceso prioritario: Excursión a lo mejor de Barcelona, incluida la Sagrada Familia",4.8,67.28
book_a0143,Barcelona,"Moco Museum Barcelona, Banksy y más Entrada",4.6,20.0
book_a0144,Barcelona,Puesta de Sol en Barco Histórico con Música DJ y Bebida,4.3,49.0
book_a0145,Barcelona,Visita guiada al Palau de la Música Catalana,4.6,22.0
book_a0146,Barcelona,Entrada al Museo Banksy,4.5,14.0
book_a0147,Barcelona,Tickets de un día a PortAventura Park,4.1,40.0
book_a0148,Barcelona,Experience Stand Up Paddle Sunrise,4.8,25.0
book_a0149,Barcelona,Museo de las Ilusiones de Barcelona,4.1,15.0
book_a0150,Barcelona,Paseo en Barco Sitges,4.39,30.0
book_a0151,Barcelona,Spotify Camp Nou Experience: F.C. Barcelona Museum,3.3,35.0
book_a0152,Barcelona,Crucero en catamarán ecológico al atardecer,3.7,15.0
book_a0153,Barcelona,Las Golondrinas Barcelona Tour en barco de 40 minutos,4.2,8.0
book_a0154,Barcelona,Tour guiado por el Camp Nou,3.7,51.0
book_a0155,Barcelona,"Barcelona en un día: Sagrada Familia, Parque Güell y el casco antiguo con recogida en el hotel",4.6,99.0
book_a0156,Barcelona,Tour guiado por el Park Güell con entradas sin colas,3.5,23.0
book_a0157,Barcelona,La Pedrera de Gaudí de noche: una visita a puertas cerradas en Barcelona,4.1,39.0
book_a0158,Barcelona,Experiencia interactiva de cocina española en Barcelona,4.7,60.0
book_a0159,Barcelona,Barcelona: Entrada cronometrada a Casa Batlló con audioguía,5.0,48.0
book_a0160,Barcelona,Ferrari Land,2.7,22.0
book_a0161,Barcelona,Tour de 1 hora en tuk tuk por Barcelona,4.39,53.0
book_a0162,Barcelona,Tour por la bodega Codorníu con cata de cava,4.6,23.0
book_a0163,Barcelona,Tour al Atardecer en Barco Velero por la Costa con Barra Libre,4.7,49.0
book_a0164,Barcelona,La experiencia del bar de hielo en Icebarcelona,3.9,19.0
book_a0165,Barcelona,Entrada a la Casa Amatller,4.8,20.0
book_a0166,Barcelona,Lección de tango en la azotea y bebidas en Barcelona,4.9,28.0
book_a0167,Barcelona,Maravillas de Barcelona : Visita guiada a pie de 10 + Monumentos imprescindibles,4.7,19.0
book_a0168,Barcelona,Museo del Terror Pesadilla Barcelona Experiencia Interactiva,4.9,25.0
book_a0169,Barcelona,Espectáculo flamenco con bebidas en El Duende,4.4,27.0
book_a0170,Barcelona,Tour por el exterior de la Sagrada Familia,4.39,3.0
book_a0171,Barcelona,Tour guiado sin colas por Park Guell,4.4,25.0
